date,value,satellite_flag
2023-12-10 18:00,0.0000,01000000000000010000000000000000
2023-12-10 19:00,0.0000,11000000000000000000000000000000
2023-12-10 20:00,0.0000,11000000000000000000000000000000
2023-12-10 21:00,0.0000,01000000000000000010000000000000
2023-12-10 22:00,0.0000,01000000000000000000000000100000
2023-12-10 23:00,0.0000,11000000000000000000000000000000
2023-12-11 00:00,0.0000,11000000000000000000000000000000
2023-12-11 01:00,0.0000,01000000000000100000000000000000
2023-12-11 02:00,0.0000,11000000000000000000000000000000
2023-12-11 03:00,0.0000,11000000000000000000000000000000
2023-12-11 04:00,0.0000,11000000000000000000000000000000
2023-12-11 05:00,0.0000,11000000000000000000000000000000
2023-12-11 06:00,0.0000,01000000000000010000000000000000
2023-12-11 07:00,0.0000,11000000000000000000000000000000
2023-12-11 08:00,0.0000,11000000000000000000000000000000
2023-12-11 09:00,32.7350,01000000000001000000000000000000
2023-12-11 10:00,26.9807,11000000000000000000000000000000
2023-12-11 11:00,19.4457,11000000000000000000000000000000
2023-12-11 12:00,12.6307,11000000000000000000000000000000
2023-12-11 13:00,5.1153,11000000000000000000000000000000
2023-12-11 14:00,0.0000,01000000000000100000000000000000
2023-12-11 15:00,0.0000,11000000000000000000000000000000
2023-12-11 16:00,0.0000,11000000000000000000000000000000
2023-12-11 17:00,0.0000,11000000000000000000000000000000
2023-12-11 18:00,0.0000,11000000000000000000000000000000
2023-12-11 19:00,0.0000,11000000000000000000000000000000
2023-12-11 20:00,0.0000,01000000000000000010000000000000
2023-12-11 21:00,0.0000,11000000000000000000000000000000
2023-12-11 22:00,0.0000,01000000000000000000000000100000
2023-12-11 23:00,0.0000,11000000000000000000000000000000
2023-12-12 00:00,0.0000,11000000000000000000000000000000
2023-12-12 01:00,0.0000,11000000000000000000000000000000
2023-12-12 02:00,0.0000,11000000000000000000000000000000
2023-12-12 03:00,0.0000,11000000000000000000000000000000
2023-12-12 04:00,0.0000,11000000000000000000000000000000
2023-12-12 05:00,0.0000,11000000000000000000000000000000
2023-12-12 06:00,0.0000,01000000000000010000000000000000
2023-12-12 07:00,0.2353,11000000000000000000000000000000
2023-12-12 08:00,0.1931,01000000000001000000000000000000
2023-12-12 09:00,1.1989,11000000000000000000000000000000
2023-12-12 10:00,1.7650,11000000000000000000000000000000
2023-12-12 11:00,0.0000,11000000000000000000000000000000
2023-12-12 12:00,0.0000,11000000000000000000000000000000
2023-12-12 13:00,0.0000,11000000000000000000000000000000
2023-12-12 14:00,0.0000,01000000000000100000000000000000
2023-12-12 15:00,0.0000,11000000000000000000000000000000
2023-12-12 16:00,0.0000,11000000000000000000000000000000
2023-12-12 17:00,0.0000,11000000000000000000000000000000
2023-12-12 18:00,0.0000,01000000000000010000000000000000
2023-12-12 19:00,0.0000,11000000000000000000000000000000
2023-12-12 20:00,0.0000,01000000000001000010000000000000
2023-12-12 21:00,0.0000,11000000000000000000000000000000
2023-12-12 22:00,0.0000,01000000000000000000000000100000
2023-12-12 23:00,0.0000,11000000000000000000000000000000
2023-12-13 00:00,0.0000,11000000000000000000000000000000
2023-12-13 01:00,0.0000,11000000000000000000000000000000
2023-12-13 02:00,0.0000,01000000000000100000000000000000
2023-12-13 03:00,0.0000,11000000000000000000000000000000
2023-12-13 04:00,0.0000,11000000000000000000000000000000
2023-12-13 05:00,0.0000,11000000000000000000000000000000
2023-12-13 06:00,0.0000,01000000000000010000000000000000
2023-12-13 07:00,0.0000,11000000000000000000000000000000
2023-12-13 08:00,0.0000,11000000000000000000000000000000
2023-12-13 09:00,0.0000,01000000000000000010000000000000
2023-12-13 10:00,0.0000,11000000000000000000000000000000
2023-12-13 11:00,0.0000,01000000000000000000000000100000
2023-12-13 12:00,1.6911,11000000000000000000000000000000
2023-12-13 13:00,0.2280,01000000000000100000000000000000
2023-12-13 14:00,0.0000,11000000000000000000000000000000
2023-12-13 15:00,0.0000,11000000000000000000000000000000
2023-12-13 16:00,1.3835,11000000000000000000000000000000
2023-12-13 17:00,0.0891,11000000000000000000000000000000
2023-12-13 18:00,0.0000,11000000000000000000000000000000
2023-12-13 19:00,0.0000,11000000000000000000000000000000
2023-12-13 20:00,0.0000,11000000000000000000000000000000
2023-12-13 21:00,0.0000,11000000000000000000000000000000
2023-12-13 22:00,0.0000,01000000000000000000000000100000
2023-12-13 23:00,0.0000,11000000000000000000000000000000
2023-12-14 00:00,0.0000,11000000000000000000000000000000
2023-12-14 01:00,0.0000,11000000000000000000000000000000
2023-12-14 02:00,0.0000,01000000000000100000000000000000
2023-12-14 03:00,0.0000,11000000000000000000000000000000
2023-12-14 04:00,0.0000,11000000000000000000000000000000
2023-12-14 05:00,0.0000,11000000000000000000000000000000
2023-12-14 06:00,0.0000,11000000000000000000000000000000
2023-12-14 07:00,0.0000,11000000000000000000000000000000
2023-12-14 08:00,0.0000,11000000000000000000000000000000
2023-12-14 09:00,0.0000,01000000000000000010000000000000
2023-12-14 10:00,0.0000,01000000000000000000000000100000
2023-12-14 11:00,0.0000,11000000000000000000000000000000
2023-12-14 12:00,0.0187,11000000000000000000000000000000
2023-12-14 13:00,0.0000,11000000000000000000000000000000
2023-12-14 14:00,0.0000,11000000000000000000000000000000
2023-12-14 15:00,0.0000,01000000000000100000000000000000
2023-12-14 16:00,0.1047,11000000000000000000000000000000
2023-12-14 17:00,0.0000,11000000000000000000000000000000
2023-12-14 18:00,0.0000,01000000000000010000000000000000
2023-12-14 19:00,0.0000,11000000000000000000000000000000
